Date,Demand,Forecast,Prediction
14/11/2016,10893.66667,10846.29167,10801.29167
15/11/2016,11109.45833,11105.25,11060.25
16/11/2016,11064.75,10747.79167,10702.79167
17/11/2016,10792.70833,10758.875,10713.875
18/11/2016,10601.58333,10435.29167,10390.29167
19/11/2016,9615.5,9358.916667,9313.916667
20/11/2016,10701.125,10696.625,10651.625
21/11/2016,11929.875,12095.625,12050.625
22/11/2016,12198.25,12294.95833,12249.95833
23/11/2016,11913.875,11661.5,11616.5
24/11/2016,9601.208333,9877.083333,9832.083333
25/11/2016,8458.916667,8621.166667,8576.166667
26/11/2016,8825.875,9178.5,9133.5
27/11/2016,10578.91667,10192.375,10147.375
28/11/2016,11753.04167,11577.91667,11532.91667
29/11/2016,10731.16667,10834.25,10789.25
30/11/2016,10395.91667,10327.625,10282.625
01/12/2016,10305.95833,10430.625,10385.625
02/12/2016,11468.70833,11407.625,11362.625
03/12/2016,11025.58333,11320.29167,11275.29167
04/12/2016,10893.08333,11032.95833,10987.95833
05/12/2016,11403.20833,11427.875,11382.875
06/12/2016,11523.625,11683.25,11638.25
07/12/2016,11753,11903.91667,11858.91667
08/12/2016,11506.20833,11585.875,11540.875
09/12/2016,13351.625,13371.75,13326.75
10/12/2016,13814.91667,13824.54167,13779.54167
11/12/2016,13550.66667,13231.95833,13186.95833
12/12/2016,12207.20833,12360.04167,12315.04167
13/12/2016,12242,12064.625,12019.625
14/12/2016,11921.41667,12357.79167,12312.79167
15/12/2016,13230.91667,13344.70833,13299.70833
16/12/2016,15630.375,15490.45833,15445.45833
17/12/2016,13879.16667,13596.70833,13551.70833
18/12/2016,10435.66667,10305.58333,10260.58333
19/12/2016,11880.29167,12084.5,12039.5
20/12/2016,13116.66667,13610.08333,13565.08333
21/12/2016,13813.33333,12814.20833,12769.20833
22/12/2016,11691.25,11658.375,11613.375
23/12/2016,11057.5,11668.125,11623.125
24/12/2016,9964.625,9875.208333,9830.208333
25/12/2016,9853.8,9643.4,9598.4
26/12/2016,8685.944444,9389.055556,9344.055556
27/12/2016,9332.375,9955.916667,9910.916667
28/12/2016,9830.625,10063.625,10018.625
29/12/2016,10342.125,10272.45833,10227.45833
30/12/2016,11464.91667,11392.04167,11347.04167
31/12/2016,12534.25,12093.04167,12048.04167
01/01/2017,10603.25,10932.79167,10887.79167
02/01/2017,10285.875,10641.45833,10596.45833
03/01/2017,11137.45833,10949.16667,10904.16667
04/01/2017,11013.91667,10987.25,10942.25
05/01/2017,13220.41667,12402.95833,12357.95833
06/01/2017,13142.75,12967.95833,12922.95833
07/01/2017,14190.625,13888.79167,13843.79167
08/01/2017,16068.41667,16712.29167,16667.29167
09/01/2017,16922.125,17190.29167,17145.29167
10/01/2017,15486.16667,15476.95833,15431.95833
11/01/2017,13136.58333,12878.45833,12833.45833
12/01/2017,11427.5,11293.66667,11248.66667
13/01/2017,10497.54167,10733,10688
14/01/2017,9868.083333,10244.20833,10199.20833
15/01/2017,11122.5,11285.75,11240.75
16/01/2017,10512.27778,10794.05556,10749.05556
17/01/2017,11080.41667,11068.75,11023.75
18/01/2017,10476.16667,10562.875,10517.875
19/01/2017,11002.20833,10956.54167,10911.54167
20/01/2017,10808.04167,10913.70833,10868.70833
21/01/2017,10009.79167,9884.458333,9839.458333
22/01/2017,9524.875,9206.208333,9161.208333
23/01/2017,10546.125,10360.33333,10315.33333
24/01/2017,11124.66667,11279.16667,11234.16667
25/01/2017,11411.79167,11392,11347
26/01/2017,10355.29167,10688.875,10643.875
27/01/2017,12044.45833,11771.83333,11726.83333
28/01/2017,12334.45833,12652.29167,12607.29167
29/01/2017,11678.08333,12064.58333,12019.58333
30/01/2017,12621.75,13210.58333,13165.58333
31/01/2017,12768.41667,13214.5,13169.5
01/02/2017,11209.70833,11212.45833,11167.45833
02/02/2017,10856.45833,10731.08333,10686.08333
03/02/2017,11463.20833,11781.20833,11736.20833
04/02/2017,12830.04167,12989.04167,12944.04167
05/02/2017,11991.41667,12572.54167,12527.54167
